acquisition_function,seed_size,active_batch_size,accuracy
mcw,20000,25,"[0.51222222 0.53013889 0.53986111 0.57694444 0.595      0.60805556
 0.62527778 0.62416667]"
mcw,20000,50,"[0.50611111 0.545      0.5475     0.56541667 0.57875    0.58180556
 0.58513889 0.61222222]"
mcw,5000,10,"[0.49402778 0.4975     0.49986111 0.49694444 0.49416667 0.49875
 0.50333333 0.51444444]"
mcw,5000,25,"[0.505      0.49666667 0.50194444 0.51222222 0.50680556 0.55125
 0.56138889 0.57652778]"
mcw,5000,50,"[0.51       0.50055556 0.49611111 0.50083333 0.50388889 0.50652778
 0.50861111 0.51180556]"
random_score,10000,10,"[0.49125    0.51166667 0.49013889 0.49833333 0.50208333 0.56875
 0.51638889 0.58111111]"
random_score,10000,25,"[0.49486111 0.50138889 0.50305556 0.49986111 0.55666667 0.55583333
 0.57055556 0.60402778]"
random_score,10000,50,"[0.50166667 0.48972222 0.51027778 0.50236111 0.51638889 0.53125
 0.52875    0.55083333]"
random_score,15000,10,"[0.50902778 0.50444444 0.51194444 0.51194444 0.53180556 0.53972222
 0.53597222 0.52277778]"
random_score,15000,25,"[0.50861111 0.50208333 0.51902778 0.5475     0.56583333 0.54763889
 0.53972222 0.55708333]"
random_score,15000,50,"[0.50736111 0.51208333 0.49736111 0.525      0.535      0.56430556
 0.55638889 0.60430556]"
random_score,20000,10,"[0.49277778 0.51666667 0.53041667 0.52236111 0.53222222 0.54236111
 0.55319444 0.57027778]"
random_score,20000,25,"[0.50875    0.50708333 0.52430556 0.53208333 0.54138889 0.53388889
 0.54652778 0.60736111]"
random_score,20000,50,"[0.50277778 0.5175     0.53944444 0.52388889 0.515      0.52888889
 0.54236111 0.52777778]"
random_score,5000,10,"[0.51027778 0.49513889 0.49513889 0.50541667 0.49680556 0.49847222
 0.505      0.52152778]"
random_score,5000,25,"[0.50125    0.50666667 0.49972222 0.50152778 0.50916667 0.52222222
 0.53930556 0.55875   ]"
random_score,5000,50,"[0.51083333 0.49555556 0.49263889 0.49875    0.49597222 0.50708333
 0.50583333 0.50638889]"
